post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
"Linen dress with back opening",linen-dress-with-back-opening,,144,,,publish,,0,"2025-04-24 05:52:41",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/186a1526a1512ffa5efd610cfae7b4f5299c8ed5.png ! alt :  ! title : 186a1526a1512ffa5efd610cfae7b4f5299c8ed5 ! desc :  ! caption : ",,http://localhost/junior-salon/product/linen-dress-with-back-opening/,0,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Embroidered knit cardigan",embroidered-knit-cardigan,,155,,,publish,,0,"2025-04-24 05:55:04",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/c77e5266d38526df577eab06115d7edefe5bd843.png ! alt :  ! title : c77e5266d38526df577eab06115d7edefe5bd843 ! desc :  ! caption : ",,http://localhost/junior-salon/product/embroidered-knit-cardigan/,0,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Ballon skirt dress",ballon-skirt-dress,,156,,,publish,,0,"2025-04-24 05:59:01",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/b35e2cef1be527535cbd5991ec289493cf8ee6ee.png ! alt :  ! title : b35e2cef1be527535cbd5991ec289493cf8ee6ee ! desc :  ! caption : ",,http://localhost/junior-salon/product/ballon-skirt-dress/,4,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Cotton linen overalls",cotton-linen-overalls,,158,,,publish,,0,"2025-04-24 05:59:42",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/0c8be877df954c08d58691b625bdfc64c0da2451.png ! alt :  ! title : 0c8be877df954c08d58691b625bdfc64c0da2451 ! desc :  ! caption : ",,http://localhost/junior-salon/product/cotton-linen-overalls/,0,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Baby neck t-shirt",baby-neck-t-shirt,,159,,,publish,,0,"2025-04-24 06:00:32",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/9e664f12313008f53b4b66c84945127ed0299d4f.png ! alt :  ! title : 9e664f12313008f53b4b66c84945127ed0299d4f ! desc :  ! caption : ",,http://localhost/junior-salon/product/baby-neck-t-shirt/,2,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Cotton flowers hat",cotton-flowers-hat,,160,,,publish,,0,"2025-04-24 06:01:39",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/0b3d49946c9eaff45e35a04d51bd9b6a4473998a.png ! alt :  ! title : 0b3d49946c9eaff45e35a04d51bd9b6a4473998a ! desc :  ! caption : ",,http://localhost/junior-salon/product/cotton-flowers-hat/,0,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Long cotton dungarees",long-cotton-dungarees,,161,,,publish,,0,"2025-04-24 06:02:36",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/d580319d3940df57e139a7f811e3ec8544b7f448.png ! alt :  ! title : d580319d3940df57e139a7f811e3ec8544b7f448 ! desc :  ! caption : ",,http://localhost/junior-salon/product/long-cotton-dungarees/,0,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Cropped textured jacket",cropped-textured-jacket,,162,,,publish,,0,"2025-04-24 06:04:13",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/cc811b9f805f06924e92c5e2cb5bbf7aa8b82992.png ! alt :  ! title : cc811b9f805f06924e92c5e2cb5bbf7aa8b82992 ! desc :  ! caption : ",,http://localhost/junior-salon/product/cropped-textured-jacket/,0,,Chloé,simple,,"POPULAR PICKS",,,BLACK|BLUE|GREEN|RED|WHITE,1|1|1,"1 year|2 Year|Medium|Small",0|1|1
"100% cotton Oxford striped shirt",100-cotton-oxford-striped-shirt,,163,,,publish,,0,"2025-04-24 06:04:46",1,open,,,,no,no,,109,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/273a7ed416476775f4d5be7297c9533d74e8e0ea.png ! alt :  ! title : 273a7ed416476775f4d5be7297c9533d74e8e0ea ! desc :  ! caption : ",,http://localhost/junior-salon/product/100-cotton-oxford-striped-shirt/,8,,Chloé,simple,,"POPULAR PICKS",,,,,,
"Classic suit jacket",classic-suit-jacket,,164,,,publish,,0,"2025-04-24 06:05:58",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost/junior-salon/wp-content/uploads/2025/04/091ca0e42d2352d5ebbd3675f6a4193c22f7e802.png ! alt :  ! title : 091ca0e42d2352d5ebbd3675f6a4193c22f7e802 ! desc :  ! caption : ",,http://localhost/junior-salon/product/classic-suit-jacket/,2,,Chloé,simple,,"Home category > BABY|POPULAR PICKS",,,BLACK|BLUE|GREEN|RED|WHITE,0|1|1,"1 year|2 Year|Medium|Small",1|1|1
